model,LB resid p (10),LB resid p (20),LB squared resid p (10),LB squared resid p (20),ARCH-LM p (10),Jarque-Bera statistic,Jarque-Bera p
ARCH(7),0.87309599027937,0.7013534024935139,0.997109565574401,0.998933513348091,0.9972067078297986,279.96229076236835,1.610500968979344e-61
"GARCH(1,1)",0.8658268464936096,0.6794524730811881,0.6612796091099928,0.9500658950487656,0.6596399155846463,284.28426541327417,1.855479325160469e-62
"EGARCH(1,1,1)",0.8008267907717643,0.597880476743023,0.005028707498124901,0.04327252895196644,0.012379201979410896,306.871109647158,2.3109216023413995e-67
"GJR-GARCH(1,1,1)",0.8404671006456306,0.6428838553667866,0.6771501936250224,0.9558138462648902,0.6765001599772806,270.73135812539215,1.6271685589603187e-59
"TARCH(1,1,1)",0.7865069691698243,0.5894649586897561,0.00031277149974900524,0.005022658038670976,0.0014711268675316029,334.0949719844967,2.832687184574134e-73
