model,AIC,BIC,loglikelihood,convergence_flag
"TARCH(1,1,1)",12804.472676485915,12832.935524726254,-6397.236338242958,0
"EGARCH(1,1,1)",12804.47788424163,12832.94073248197,-6397.238942120815,0
"GJR-GARCH(1,1,1)",12809.208915316696,12837.671763557035,-6399.604457658348,0
"GARCH(1,1)",12809.437404875958,12832.20768346823,-6400.718702437979,0
ARCH(7),12823.800426129974,12875.033552962585,-6402.900213064987,0
