date,actual_yield_percent,actual_change_bps,fixed_AR2_mean_forecast_change_bps,realized_innovation_bps,realized_abs_innovation_bps,ARCH(7) standardized innovation,"GARCH(1,1) standardized innovation","EGARCH(1,1,1) standardized innovation","GJR-GARCH(1,1,1) standardized innovation","TARCH(1,1,1) standardized innovation"
2022-09-23,3.8426,29.099999999999994,-0.6458803208361443,29.74588032083614,29.74588032083614,3.914284820124315,3.6343963675162185,3.362361483117919,3.3844300882679494,3.3378911543855283
2022-09-26,4.1817,33.91000000000002,-0.4125168987223613,34.32251689872238,34.32251689872238,4.276179820449191,4.230881027525367,3.901812466287384,3.9442160800819157,3.869854243811614
2022-09-27,4.4341,25.239999999999974,0.05010850275804537,25.189891497241927,25.189891497241927,3.17392375293992,3.1347682735141262,2.8774550094612756,2.920726891174617,2.8553155323590307
2022-09-28,4.0517,-38.23999999999997,0.02945052003688526,-38.26945052003685,38.26945052003685,-4.8772413955083485,-4.803735078672933,-4.392753796918891,-4.474502413330039,-4.357866306799716
2022-09-29,4.121,6.930000000000014,0.01857908878211805,6.9114209112178955,6.9114209112178955,0.8610806862560655,0.877261267516744,0.7972880908709831,0.8149239876497706,0.7913283543242384
2022-09-30,4.1021,-1.890000000000036,0.01944285659044479,-1.9094428565904809,1.9094428565904809,-0.2237788863404418,-0.24459132352703988,-0.22142831812138872,-0.22729916952082846,-0.21956844563705774
2022-10-03,3.9766,-12.550000000000017,0.01968619356002751,-12.569686193560043,12.569686193560043,-1.6154313122174269,-1.6257851819095939,-1.4643852276598777,-1.5080328941470127,-1.451863494075882
2022-10-04,3.9036,-7.299999999999995,0.01965685265836819,-7.319656852658364,7.319656852658364,-1.0780523500514188,-0.9554979241922532,-0.8572825958743491,-0.8857424123832874,-0.8496984006388348
2022-10-05,4.0527,14.909999999999979,0.01965172700835822,14.89034827299162,14.89034827299162,2.239641297705331,1.9599325207807425,1.7506992736461087,1.8165662811994074,1.7357437934999371
2022-10-06,4.2134,16.07000000000003,0.019652622947366853,16.050347377052663,16.050347377052663,2.482975935941966,2.1299660989732567,1.8959279356987335,1.9721795392388237,1.8792790129023624
2022-10-07,4.2826,6.920000000000037,0.01965272199968379,6.900347278000353,6.900347278000353,1.08284452091943,0.9239530130199111,0.8189488084152757,0.8553130935851572,0.8113074613050777
2022-10-10,4.5445,26.18999999999998,0.019652696484970082,26.17034730351501,26.17034730351501,4.160432779312378,3.531523013410088,3.1180040527387693,3.2716284147485615,3.0898252972197207
2022-10-11,4.4839,-6.059999999999999,0.01965269483386248,-6.079652694833861,6.079652694833861,-0.9991124861879827,-0.8274312681420741,-0.7268623156051773,-0.7658943461874697,-0.7213001870980225
2022-10-12,4.5387,5.480000000000018,0.0196526955229535,5.4603473044770645,5.4603473044770645,0.9364402641960325,0.7496914124623056,0.6554256456489301,0.6934978875197788,0.6511032256034044
2022-10-13,4.3034,-23.53000000000005,0.019652695542014355,-23.549652695542065,23.549652695542065,-4.135369861021745,-3.264701004422775,-2.839074336156008,-3.0137819894255298,-2.820969851470638
2022-10-14,4.3868,8.340000000000014,0.01965269552422265,8.320347304475792,8.320347304475792,1.4838410553516308,1.1634466917853505,1.0075403537851007,1.0734634735021185,1.0009369437798683
2022-10-17,4.0661,-32.07000000000004,0.019652695524318142,-32.089652695524364,32.089652695524364,-5.82082854773557,-4.524185312246653,-3.9011969974026015,-4.167907063848216,-3.8789922327830917
2022-10-18,3.9967,-6.939999999999946,0.019652695524758658,-6.959652695524705,6.959652695524705,-1.2797352638280477,-0.9865830253180254,-0.8501070040032136,-0.9098247679900759,-0.8451569255011211
2022-10-19,3.9383,-5.840000000000023,0.019652695524742147,-5.859652695524765,5.859652695524765,-1.0912472098524622,-0.8370190265596458,-0.7183214909415552,-0.7724193610421365,-0.7143057305218895
2022-10-20,3.9214,-1.6899999999999693,0.019652695524731693,-1.709652695524701,1.709652695524701,-0.3219449890140256,-0.24624679293857332,-0.21035697917780458,-0.22681952623738472,-0.20939811292366042
2022-10-21,4.1101,18.869999999999987,0.01965269552473244,18.850347304475253,18.850347304475253,3.6028419477840607,2.732187955481576,2.328941322861349,2.5247948671489504,2.322308571407376
2022-10-24,3.8207,-28.940000000000012,0.019652695524732675,-28.959652695524746,28.959652695524746,-5.606340968533531,-4.22934149607305,-3.595742163415913,-3.9057588750114056,-3.5869730221490803
2022-10-25,3.7265,-9.419999999999984,0.01965269552473265,-9.439652695524716,9.439652695524716,-1.8378648792164456,-1.3876379456504402,-1.1769074426416475,-1.2839561597928102,-1.1746478277586412
2022-10-26,3.6771,-4.940000000000033,0.019652695524732644,-4.959652695524766,4.959652695524766,-0.9726002746912159,-0.734244714438695,-0.6209210010736754,-0.6783865063458401,-0.6201241318658911
2022-10-27,3.5847,-9.23999999999996,0.019652695524732644,-9.259652695524691,9.259652695524691,-1.8343311003208074,-1.3817424148189907,-1.16442491807939,-1.2768243679459732,-1.1629284232273371
2022-10-28,3.5362,-4.850000000000021,0.019652695524732644,-4.869652695524754,4.869652695524754,-0.9713154756549187,-0.7316994325716598,-0.614826055601094,-0.6763777448610538,-0.6144125655810466
2022-10-31,3.6167,8.04999999999998,0.019652695524732644,8.030347304475248,8.030347304475248,1.6054014306777455,1.2137665129761068,1.0182671591920875,1.1243307217715366,1.0167590627965817
