model,AIC,BIC,loglikelihood,convergence_flag
"EGARCH(1,1,1)",12369.497364201463,12397.821443127892,-6179.7486821007315,0
"TARCH(1,1,1)",12370.100084064845,12398.424162991274,-6180.050042032422,0
"GARCH(1,1)",12370.393488555786,12393.052751696929,-6181.196744277893,0
"GJR-GARCH(1,1,1)",12371.154708615808,12399.478787542237,-6180.577354307904,0
ARCH(7),12380.663683656978,12431.64702572455,-6181.331841828489,0
