date,actual_yield_percent,actual_change_bps,fixed_AR2_mean_forecast_change_bps,realized_innovation_bps,realized_abs_innovation_bps,realized_squared_innovation_bps2,ARCH(7) variance forecast,ARCH(7) sigma forecast,"GARCH(1,1) variance forecast","GARCH(1,1) sigma forecast","EGARCH(1,1,1) variance forecast","EGARCH(1,1,1) sigma forecast","GJR-GARCH(1,1,1) variance forecast","GJR-GARCH(1,1,1) sigma forecast","TARCH(1,1,1) variance forecast","TARCH(1,1,1) sigma forecast"
2022-09-23,3.8426,29.099999999999994,-0.6458803208361443,29.74588032083614,29.74588032083614,884.8173960615068,57.74957671577395,7.599314226676901,66.98677551964013,8.184544918298155,78.26450601707218,8.846722897043412,77.24716645915267,8.78903671963843,79.41623816476587,8.91157888170025
2022-09-26,4.1817,33.91000000000002,-0.4125168987223613,34.32251689872238,34.32251689872238,1178.035166263083,64.42379966609367,8.026443774555059,65.81071796429963,8.112380536211282,77.37942017514114,8.796557291073658,75.72457706272026,8.70198696061539,78.6627344900341,8.8692014572922
2022-09-27,4.4341,25.239999999999974,0.05010850275804537,25.189891497241927,25.189891497241927,634.5306336428212,62.98826045899056,7.93651437716776,64.57162385948565,8.035647071610702,76.63647309994364,8.75422601375722,74.38248702580647,8.624528220477133,77.8295246592513,8.822104321489931
2022-09-28,4.0517,-38.23999999999997,0.02945052003688526,-38.26945052003685,38.26945052003685,1464.5508431055487,61.56812825946823,7.846536067556705,63.466764126049846,7.966603048103366,75.89806914922303,8.711949790329546,73.1501060130295,8.5527835242703,77.11815805708463,8.781694486662847
2022-09-29,4.121,6.930000000000014,0.01857908878211805,6.9114209112178955,6.9114209112178955,47.76773901202,64.42389656406775,8.026449810723776,62.06928968001834,7.8784065444744815,75.14569945314304,8.668661918262993,71.92841361931187,8.481062057272773,76.28185238228033,8.73394826995674
2022-09-30,4.1021,-1.890000000000036,0.01944285659044479,-1.9094428565904809,1.9094428565904809,3.6459720225844157,72.8073317633485,8.532721240222752,60.94403960937752,7.806666356991153,74.3613060782899,8.623300184864835,70.56959643673741,8.400571197051866,75.62640861332451,8.696344554657694
2022-10-03,3.9766,-12.550000000000017,0.01968619356002751,-12.569686193560043,12.569686193560043,157.99701100457398,60.54410697598816,7.7810093802788955,59.775408020107946,7.73145575038155,73.6780618040124,8.583592593082013,69.47478981353555,8.335153856620497,74.95442902599444,8.657622596648253
2022-10-04,3.9036,-7.299999999999995,0.01965685265836819,-7.319656852658364,7.319656852658364,53.577376440668544,46.10008669698075,6.789704463154545,58.68430257207985,7.660568031946446,72.9009905587869,8.538207690070962,68.29148586010102,8.263866277965842,74.20819049601351,8.614417594707927
2022-10-05,4.0527,14.909999999999979,0.01965172700835822,14.89034827299162,14.89034827299162,221.72247169098452,44.20310502766399,6.648541571477461,57.7201529255284,7.59737802965789,72.34134985113032,8.505371823214452,67.19039806907989,8.19697493402779,73.5933324838227,8.578655633828806
2022-10-06,4.2134,16.07000000000003,0.019652622947366853,16.050347377052663,16.050347377052663,257.6136509240613,41.78533144759819,6.464157442977251,56.78367419707158,7.535494290162497,71.66798943474511,8.465694858353041,66.23323610977657,8.138380435306313,72.94345752131143,8.540694206053242
