model,mean_gap_bps,median_gap_bps,minimum_gap_bps,maximum_gap_bps,final_gap_bps
"ARMA(2,2)",-35.47386035643496,-36.938655866804204,-63.69289335425465,-8.049633730262773,-32.247204862486356
"ARIMA(2, 1, 2)",-24.33392452168295,-26.152122023138524,-56.919345080298015,6.882173623882526,-8.92435461818053
AR(2),-21.687462965955525,-23.134717808181637,-53.99843157958726,9.858999469958007,-6.143565935447093
MA(2),-21.58786968751634,-23.031296289857117,-53.895554979843396,9.962962400129083,-6.038520219898391
Random Walk,-20.633076923076906,-22.06999999999999,-53.05,11.040000000000028,-4.72999999999999
