date,Actual Yield (%),Random Walk,AR(2),MA(2),"ARMA(2,2)","ARIMA(2, 1, 2)"
2022-09-28,4.0517,4.4341,4.439971927289882,4.439395265293856,4.4558705402197205,4.449671600109667
2022-09-29,4.121,4.4341,4.441790765853311,4.4408194301482276,4.476527526859018,4.460611947671457
2022-09-30,4.1021,4.4341,4.442414870401752,4.441398136698296,4.498223556920704,4.466802247987366
2022-10-03,3.9766,4.4341,4.443002611999712,4.441976843248365,4.518903008347129,4.47056356352741
2022-10-04,3.9036,4.4341,4.4435843157958725,4.442555549798434,4.5405289335425465,4.47279345080298
2022-10-05,4.0527,4.4341,4.444165762737058,4.443134256348502,4.561226717642267,4.474126538868039
2022-10-06,4.2134,4.4341,4.444747178081816,4.443712962898571,4.582786558668042,4.474921220231385
2022-10-07,4.2826,4.4341,4.445328591776063,4.44429166944864,4.603498910484833,4.475395408596662
2022-10-10,4.5445,4.4341,4.44591000530042,4.444870375998709,4.624996337302628,4.475678263761175
2022-10-11,4.4839,4.4341,4.446491418814663,4.445449082548778,4.645719826702991,4.475847007125908
2022-10-12,4.5387,4.4341,4.447072832327974,4.446027789098847,4.6671581894181475,4.475947670722366
2022-10-13,4.3034,4.4341,4.447654245841225,4.446606495648916,4.687889691603657,4.476007722232564
2022-10-14,4.3868,4.4341,4.448235659354471,4.447185202198984,4.709272048624864,4.476043546181805
