date,Actual Yield (%),Lowest model forecast (%),Median model forecast (%),Highest model forecast (%),Actual minus median (bps)
2022-09-28,4.0517,4.4341,4.439971927289882,4.4558705402197205,-38.82719272898818
2022-09-29,4.121,4.4341,4.441790765853311,4.476527526859018,-32.07907658533102
2022-09-30,4.1021,4.4341,4.442414870401752,4.498223556920704,-34.03148704017518
2022-10-03,3.9766,4.4341,4.443002611999712,4.518903008347129,-46.64026119997122
2022-10-04,3.9036,4.4341,4.4435843157958725,4.5405289335425465,-53.99843157958726
2022-10-05,4.0527,4.4341,4.444165762737058,4.561226717642267,-39.14657627370586
2022-10-06,4.2134,4.4341,4.444747178081816,4.582786558668042,-23.134717808181637
2022-10-07,4.2826,4.4341,4.445328591776063,4.603498910484833,-16.272859177606236
2022-10-10,4.5445,4.4341,4.44591000530042,4.624996337302628,9.858999469958007
2022-10-11,4.4839,4.4341,4.446491418814663,4.645719826702991,3.7408581185337297
2022-10-12,4.5387,4.4341,4.447072832327974,4.6671581894181475,9.162716767202639
2022-10-13,4.3034,4.4341,4.447654245841225,4.687889691603657,-14.425424584122482
2022-10-14,4.3868,4.4341,4.448235659354471,4.709272048624864,-6.143565935447093
