date,VAR_fx_return_pct,VAR_d5y_bps,VAR_d20y_bps
2022-09-28,0.6548092136294714,1.145081495461647,9.729856561692934
2022-09-29,0.5019532760171294,0.16652168442692084,1.1112614788460125
2022-09-30,0.06506022583672713,-2.0961352460362983,-2.393816606230948
2022-10-03,-0.009882906742426367,-1.5553793341666518,-1.9833794542219378
2022-10-04,-0.032088345951907946,-0.4104298037998797,-0.8886060368258535
2022-10-05,-0.03146204850662407,0.030437613967676053,-0.3010872805490777
2022-10-06,-0.000810802884886417,0.2005912740881233,0.06873833197299989
2022-10-07,0.018409076799413924,0.20930334069512224,0.1677316687143805
2022-10-10,0.023959977397623098,0.1663234821073624,0.13655699978864178
2022-10-11,0.022856191863523632,0.1296039992486655,0.08674396008932353
2022-10-12,0.020917569632953187,0.11385286449565854,0.05902191178711555
2022-10-13,0.019799997863202516,0.11112753255942122,0.05061339284309778
2022-10-14,0.019400698078049554,0.11285806536118509,0.05088062447288942
