date,gbpusd,yield_5y,yield_10y,yield_20y,VAR_counterfactual_gbpusd,VAR_counterfactual_yield_5y,VAR_counterfactual_yield_10y,VAR_counterfactual_yield_20y,VAR_counterfactual_fx_return_pct,VAR_counterfactual_d5y_bps,VAR_counterfactual_d10y_bps,VAR_counterfactual_d20y_bps,10y_gap_bps
2022-09-28,0.9307,4.2254,4.0517,4.0178,0.9342978820792697,4.530250814954616,4.491939017471029,4.96799856561693,0.6548092136294714,1.145081495461647,5.783901747102951,9.729856561692934,-44.02390174710291
2022-09-29,0.9063,4.311,4.121,4.056,0.9389994107732513,4.531916031798885,4.5119073392382,4.97911118040539,0.5019532760171294,0.16652168442692084,1.996832176717101,1.1112614788460125,-39.09073392381997
2022-09-30,0.8953,4.3172,4.1021,3.9372,0.9396105246849954,4.510954679338522,4.500028959840424,4.95517301434308,0.06506022583672713,-2.0961352460362983,-1.1878379397775969,-2.393816606230948,-39.79289598404243
2022-10-03,0.8865,4.1235,3.9766,4.0105,0.9395176684416223,4.4954008859968555,4.4847933631906205,4.935339219800861,-0.009882906742426367,-1.5553793341666518,-1.523559664980377,-1.9833794542219378,-50.81933631906206
2022-10-04,0.8769,4.0157,3.9036,4.1185,0.9392162411259999,4.491296587958857,4.477427960986857,4.926453159432603,-0.032088345951907946,-0.4104298037998797,-0.7365402203763467,-0.8886060368258535,-57.38279609868569
2022-10-05,0.8893,4.1345,4.0527,4.3022,0.9389207909364127,4.4916009640985335,4.474535324447317,4.923442286627112,-0.03146204850662407,0.030437613967676053,-0.2892636539540166,-0.3010872805490777,-42.18353244473177
2022-10-06,0.8929,4.272,4.2134,4.4597,0.9389131781704153,4.493606876839415,4.474945634074105,4.924129669946842,-0.000810802884886417,0.2005912740881233,0.04103096267880432,0.06873833197299989,-26.154563407410514
2022-10-07,0.8995,4.3036,4.2826,4.5771,0.939086039329048,4.495699910246366,4.476406582081177,4.925806986633986,0.018409076799413924,0.20930334069512224,0.14609480070720726,0.1677316687143805,-19.38065820811765
2022-10-10,0.9051,4.5375,4.5445,4.9129,0.9393110710895185,4.49736314506744,4.477702978839796,4.927172556631872,0.023959977397623098,0.1663234821073624,0.12963967586181901,0.13655699978864178,6.679702116020447
2022-10-11,0.9023,4.4362,4.4839,4.9591,0.9395257863670552,4.4986591850599265,4.478608532819408,4.928039996232765,0.022856191863523632,0.1296039992486655,0.09055539796123538,0.08674396008932353,0.5291467180592591
2022-10-12,0.9032,4.4011,4.5387,5.0406,0.9397223328832985,4.499797713704883,4.479281830596846,4.928630215350636,0.020917569632953187,0.11385286449565854,0.06732977774378618,0.05902191178711555,5.941816940315459
2022-10-13,0.8899,4.1795,4.3034,4.7559,0.9399084163067786,4.500908989030477,4.47987659893087,4.929136349279067,0.019799997863202516,0.11112753255942122,0.05947683340248504,0.05061339284309778,-17.64765989308703
2022-10-14,0.8888,4.2044,4.3868,4.9266,0.9400907827904498,4.502037569684089,4.480466653202287,4.929645155523796,0.019400698078049554,0.11285806536118509,0.05900542714166023,0.05088062447288942,-9.366665320228673
