date,yield_10y,counterfactual_random_walk,counterfactual_ar2,counterfactual_ma2,counterfactual_arma2_2,counterfactual_arima2__1__2
2022-09-23,3.8426,3.5516,3.545128539258593,3.5451610402491545,3.5590224801810058,3.5484875135207727
2022-09-26,4.1817,3.5516,3.5409810013092957,3.5412022560697016,3.555283886728376,3.5444220012383703
2022-09-27,4.4341,3.5516,3.541458437670326,3.5413762544969343,3.552271229361539,3.547538375327336
2022-09-28,4.0517,3.5516,3.541729890559692,3.5415502529241674,3.559765552949058,3.5480470645371827
2022-09-29,4.121,3.5516,3.541892679404882,3.5417242513514005,3.5583304602097003,3.5464323818987378
2022-09-30,4.1021,3.5516,3.5420640804423313,3.541898249778633,3.5534467873977653,3.5468864251499452
2022-10-03,3.9766,3.5516,3.5422379137676647,3.542072248205866,3.56011737834511,3.5474197112136414
2022-10-04,3.9036,3.5516,3.5424114545991907,3.5422462466330993,3.561182315133625,3.5469903704490084
2022-10-05,4.0527,3.5516,3.542584944180083,3.542420245060332,3.5551626801202594,3.546932332983564
2022-10-06,4.2134,3.5516,3.542758442690988,3.542594243487565,3.5602402409346348,3.5471496957051185
2022-10-07,4.2826,3.5516,3.54293194219321,3.542768241914798,3.563676932502475,3.5470838849142723
2022-10-10,4.5445,3.5516,3.543105441441151,3.5429422403420308,3.557384863298869,3.547014077933825
2022-10-11,4.4839,3.5516,3.5432789406725282,3.543116238769264,3.5603219929513497,3.5470731424752375
2022-10-12,4.5387,3.5516,3.5434524399107725,3.543290237196497,3.565701321954104,3.5470795289874886
2022-10-13,4.3034,3.5516,3.5436259391492095,3.5434642356237296,3.560015227282471,3.5470503016727903
2022-10-14,4.3868,3.5516,3.54379943838747,3.5436382340509627,3.560551398189116,3.547059787410085
2022-10-17,4.0661,3.5516,3.5439729376257305,3.5438122324781958,3.5672053474337706,3.5470689048040094
2022-10-18,3.9967,3.5516,3.5441464368639957,3.5439862309054284,3.5629056497132483,3.5470607906117166
2022-10-19,3.9383,3.5516,3.544319936102261,3.5441602293326615,3.561093930678884,3.547060125492674
2022-10-20,3.9214,3.5516,3.544493435340526,3.5443342277598946,3.5682066924763554,3.5470640509783466
2022-10-21,4.1101,3.5516,3.5446669345787907,3.5445082261871272,3.565878128993266,3.547062690436879
2022-10-24,3.8207,3.5516,3.544840433817056,3.5446822246143603,3.5620711177400985,3.547061502463297
2022-10-25,3.7265,3.5516,3.5450139330553205,3.5448562230415934,3.5687870228604686,3.5470626156722767
2022-10-26,3.6771,3.5516,3.5451874322935857,3.545030221468826,3.5687482784962294,3.5470626786860295
2022-10-27,3.5847,3.5516,3.545360931531851,3.545204219896059,3.5635459913502516,3.547062152072578
2022-10-28,3.5362,3.5516,3.5455344307701155,3.5453782183232923,3.5690800422431894,3.5470623463658923
2022-10-31,3.6167,3.5516,3.5457079300083807,3.545552216750525,3.571349094066382,3.5470625007589405
