p,d,q,P,D,Q,s,AIC,BIC,converged
2,1,2,0,0,0,5,-7061.238944569642,-7032.886801958688,True
2,1,2,1,0,1,5,-7058.736511067302,-7019.043511411967,True
2,1,2,1,0,0,5,-7057.945289952279,-7023.922718819135,True
2,1,2,0,0,1,5,-7057.774050168126,-7023.751479034982,True
2,1,2,1,1,1,5,-7012.75843079646,-6973.081774832883,False
2,1,2,0,1,1,5,-7011.23870071169,-6977.230138457196,False
2,1,2,1,1,0,5,-6433.382125936021,-6399.373563681526,False
2,1,2,0,1,0,5,-5623.019232468749,-5594.678763923336,False
