q,AIC,BIC,converged
2,12688.900445135354,12711.582159224117,True
3,12690.427471368319,12718.779613979272,True
1,12690.611980642832,12707.623266209404,True
5,12691.04631713633,12730.739316791665,True
4,12692.391200764021,12726.413771897165,True
6,12692.965896776897,12738.329324954422,True
7,12694.91932255085,12745.953179250566,True
8,12696.01035736726,12752.714642589168,True
9,12698.004592364297,12760.379306108394,True
10,12698.605105096936,12766.650247363224,True
