family,selected_model,MAE_percentage_points,RMSE_percentage_points,MAE_bps,RMSE_bps
MA,MA(1),0.22255484246539659,0.2609939722870539,22.25548424653966,26.09939722870539
AR,AR(1),0.22276526958527681,0.261220530725884,22.276526958527683,26.122053072588404
ARMA,"ARMA(4,2)",0.22515341191106555,0.26349817282049315,22.515341191106554,26.349817282049315
Random Walk,Random Walk,0.23242499999999994,0.2716972386683382,23.242499999999993,27.169723866833824
ARIMA,"ARIMA(0, 1, 0)",0.23242499999999994,0.2716972386683382,23.242499999999993,27.169723866833824
SARIMA,"SARIMA(0, 1, 0)x(0, 0, 0, 5)",0.23242499999999994,0.2716972386683382,23.242499999999993,27.169723866833824
