family,selected_model,MAE_percentage_points,RMSE_percentage_points,MAE_bps,RMSE_bps
Random Walk,Random Walk,0.07035666666666669,0.08508585468023855,7.035666666666669,8.508585468023854
ARMA,"ARMA(2,2)",0.0709362912711883,0.0854666715783873,7.093629127118831,8.54666715783873
MA,MA(2),0.07069180830899698,0.08584029416014469,7.069180830899698,8.584029416014468
AR,AR(2),0.07071897102349073,0.08584066984977458,7.071897102349073,8.584066984977458
ARIMA,"ARIMA(2, 1, 2)",0.07110108546960016,0.08603660954120124,7.110108546960016,8.603660954120123
