p,AIC,BIC,converged
2,12688.732656880931,12711.414370969695,True
3,12690.223803824616,12718.575946435569,True
1,12690.836155617708,12707.84744118428,True
5,12690.941386017439,12730.634385672774,True
4,12692.217240299186,12726.23981143233,True
6,12692.869825868733,12738.233254046258,True
7,12694.774325488903,12745.808182188619,True
8,12695.58811923497,12752.292404456877,True
9,12697.579918676758,12759.954632420855,True
10,12698.410528824668,12766.455671090956,True
