date,VAR_fx_return_pct,VAR_d5y_bps,VAR_d20y_bps
2022-09-23,0.12863552609532766,0.5943698018755108,2.07293821202154
2022-09-26,0.24309342170631515,-0.6211532257598888,0.38639158401559426
2022-09-27,0.09661054447273643,-0.1732248686247993,0.06390988380870272
2022-09-28,0.015616049509158403,-0.3192550783117708,-0.4484372759392727
2022-09-29,0.00283571177700059,-0.04543842900442305,-0.2075100630847771
2022-09-30,0.001587763606381144,0.08776572218211862,-0.060195231486734585
2022-10-03,0.012994696805333644,0.11704187451183765,0.03340912009514348
2022-10-04,0.017870555417939624,0.09119495452980124,0.03758309635140345
2022-10-05,0.01891391860846916,0.07670661312232584,0.02555704156195364
2022-10-06,0.01810648611669234,0.06903678263677512,0.012005830479008538
2022-10-07,0.017426897103201028,0.06805653691058712,0.006728415485439019
2022-10-10,0.0171655715063451,0.06953907442548868,0.006847685304322817
2022-10-11,0.01714977328167384,0.07071214345358112,0.008130674884524637
2022-10-12,0.017204439732403612,0.07115348843365495,0.008983821619774077
2022-10-13,0.01724381615928587,0.07115333627829352,0.00922548927607927
2022-10-14,0.01725868585091764,0.07104629821180808,0.00918734856456411
2022-10-17,0.017258948654201425,0.07096992333808884,0.009099053558011602
2022-10-18,0.01725533503689945,0.07094560338020303,0.009048616740475364
2022-10-19,0.017252667305172057,0.07094811830907646,0.0090355868545212
2022-10-20,0.017251748423343923,0.07095599071536322,0.009039323165745327
2022-10-21,0.017251811120790276,0.07096079670754316,0.009045334398657217
2022-10-24,0.01725209310699257,0.07096210397401126,0.009048561739168898
2022-10-25,0.01725227053290565,0.07096178152855892,0.009049252136459775
2022-10-26,0.017252319168770548,0.07096122344115315,0.009048892225540763
2022-10-27,0.017252307351690484,0.07096092173202807,0.009048467104733657
2022-10-28,0.01725228703722799,0.07096085608001186,0.009048267285942841
2022-10-31,0.017252276169633457,0.07096088789830629,0.00904823891871993
