date,gbpusd,yield_5y,yield_10y,yield_20y,VAR_counterfactual_gbpusd,VAR_counterfactual_yield_5y,VAR_counterfactual_yield_10y,VAR_counterfactual_yield_20y,VAR_counterfactual_fx_return_pct,VAR_counterfactual_d5y_bps,VAR_counterfactual_d10y_bps,VAR_counterfactual_d20y_bps,10y_gap_bps
2022-09-23,0.9177,3.9648,3.8426,4.0875,0.8888426323231379,3.501543698018755,3.5661327932217266,3.8978293821202152,0.12863552609532766,0.5943698018755108,1.4532793221726392,2.07293821202154,27.64672067782734
2022-09-26,0.927,4.3661,4.1817,4.472,0.8910059787026581,3.4953321657611562,3.567870269178345,3.9016932979603713,0.24309342170631515,-0.6211532257598888,0.17374759566184816,0.38639158401559426,61.38297308216551
2022-09-27,0.9282,4.5188,4.4341,4.8707,0.8918672003784568,3.493599917074908,3.5719044435933323,3.9023323967984584,0.09661054447273643,-0.1732248686247993,0.4034174414987381,0.06390988380870272,86.21955564066677
2022-09-28,0.9307,4.2254,4.0517,4.0178,0.8920064856771713,3.4904073662917905,3.5684210206129343,3.8978480240390656,0.015616049509158403,-0.3192550783117708,-0.3483422980398052,-0.4484372759392727,48.3278979387066
2022-09-29,0.9063,4.311,4.121,4.056,0.8920317807687836,3.4899529820017463,3.5665434863989582,3.895772923408218,0.00283571177700059,-0.04543842900442305,-0.18775342139758902,-0.2075100630847771,55.44565136010422
2022-09-30,0.8953,4.3172,4.1021,3.9372,0.8920459442371967,3.4908306392235677,3.5660500819386503,3.8951709710933504,0.001587763606381144,0.08776572218211862,-0.049340446030823076,-0.060195231486734585,53.60499180613498
2022-10-03,0.8865,4.1235,3.9766,4.0105,0.8921618704349805,3.492001057968686,3.566441286815874,3.895505062294302,0.012994696805333644,0.11704187451183765,0.03912048772236205,0.03340912009514348,41.0158713184126
2022-10-04,0.8769,4.0157,3.9036,4.1185,0.8923213189631988,3.492913007513984,3.566885035796857,3.895880893257816,0.017870555417939624,0.09119495452980124,0.04437489809831719,0.03758309635140345,33.671496420314284
2022-10-05,0.8893,4.1345,4.0527,4.3022,0.892490107852987,3.493680073645207,3.567245525214056,3.8961364636734355,0.01891391860846916,0.07670661312232584,0.03604894171989104,0.02555704156195364,48.54544747859437
2022-10-06,0.8929,4.272,4.2134,4.4597,0.892651721081255,3.494370441471575,3.567492997507983,3.8962565219782257,0.01810648611669234,0.06903678263677512,0.02474722939269528,0.012005830479008538,64.5907002492017
2022-10-07,0.8995,4.3036,4.2826,4.5771,0.8928072961337362,3.4950510068406806,3.5676921993715354,3.89632380613308,0.017426897103201028,0.06805653691058712,0.019920186355239185,0.006728415485439019,71.49078006284651
2022-10-10,0.9051,4.5375,4.5445,4.9129,0.8929605647629097,3.4957463975849357,3.567890591953064,3.896392282986123,0.0171655715063451,0.06953907442548868,0.019839258152880256,0.006847685304322817,97.66094080469361
2022-10-11,0.9023,4.4362,4.4839,4.9591,0.8931137186076544,3.4964535190194717,3.568098644801437,3.8964735897349683,0.01714977328167384,0.07071214345358112,0.020805284837320623,0.008130674884524637,91.58013551985631
2022-10-12,0.9032,4.4011,4.5387,5.0406,0.8932673870376313,3.497165053903808,3.568313671716238,3.896563427951166,0.017204439732403612,0.07115348843365495,0.021502691480074207,0.008983821619774077,97.03863282837624
2022-10-13,0.8899,4.1795,4.3034,4.7559,0.8934214337050435,3.497876587266591,3.568530949358927,3.896655682843927,0.01724381615928587,0.07115333627829352,0.021727764268923776,0.00922548927607927,73.48690506410729
2022-10-14,0.8888,4.2044,4.3868,4.9266,0.893575639810202,3.498587050248709,3.5687481249352184,3.8967475563295726,0.01725868585091764,0.07104629821180808,0.021717557629138875,0.00918734856456411,81.80518750647816
2022-10-17,0.8746,3.8787,4.0661,4.5563,0.8937298748803563,3.49929674948209,3.568964635298571,3.896838546865153,0.017258948654201425,0.07096992333808884,0.021651036335245802,0.009099053558011602,49.71353647014287
2022-10-18,0.8832,3.8064,3.9967,4.4469,0.8938841042706082,3.500006205515892,3.5691807166250538,3.8969290330325577,0.01725533503689945,0.07094560338020303,0.021608132648278794,0.009048616740475364,42.75192833749464
2022-10-19,0.8881,3.7897,3.9383,4.2058,0.8940383364254094,3.5007156866989826,3.569396666216796,3.8970193889011027,0.017252667305172057,0.07094811830907646,0.02159495917421253,0.0090355868545212,36.89033337832037
2022-10-20,0.8835,3.8119,3.9214,4.1131,0.8941925869750936,3.501425246606136,3.5696126338608627,3.8971097821327603,0.017251748423343923,0.07095599071536322,0.02159676440665432,0.009039323165745327,35.178736613913756
2022-10-21,0.8988,4.0283,4.1101,4.2433,0.8943468646987228,3.5021348545732116,3.5698286488125204,3.8972002354767468,0.017251811120790276,0.07096079670754316,0.021601495165784936,0.009045334398657217,54.02713511874797
2022-10-24,0.8839,3.7354,3.8207,3.9721,0.8945011715627194,3.5028444756129518,3.570044691909476,3.8972907210941385,0.01725209310699257,0.07096210397401126,0.02160430969557309,0.009048561739168898,25.065530809052383
2022-10-25,0.8728,3.6636,3.7265,3.8999,0.8946555066375268,3.5035540934282374,3.570260742252951,3.897381213615503,0.01725227053290565,0.07096178152855892,0.021605034347460247,0.009049252136459775,15.623925774704928
2022-10-26,0.8621,3.5937,3.6771,3.9074,0.8948098687761344,3.504263705662649,3.5704767903086325,3.8974717025377585,0.017252319168770548,0.07096122344115315,0.02160480556819222,0.009048892225540763,10.66232096913673
2022-10-27,0.8635,3.4691,3.5847,3.8252,0.8949642574423295,3.5049733148799693,3.5706928349507496,3.897562187208806,0.017252307351690484,0.07096092173202807,0.02160446421168101,0.009048467104733657,1.4007165049250592
2022-10-28,0.8627,3.4578,3.5362,3.7611,0.8951186725645912,3.5056829234407694,3.5709088778387468,3.897652669881665,0.01725228703722799,0.07096085608001186,0.021604288799719814,0.009048267285942841,-3.4708877838746766
2022-10-31,0.8685,3.5657,3.6167,3.8567,0.8952731142319965,3.5063925323197527,3.571124920393774,3.8977431522708526,0.017252276169633457,0.07096088789830629,0.02160425550272974,0.00904823891871993,4.557507960622598
