series,test,regression,statistic,p_value,lags,n_obs,critical_1pct,critical_5pct,critical_10pct,decision_5pct
10Y yield level,ADF,ct,-1.4295837564939593,0.852017606302101,0,2778,-3.962032545228598,-3.412071590561308,-3.1279812511832086,Fail to reject unit-root null
10Y yield level,KPSS,ct,1.7993036584044269,0.01,31,2779,0.216,0.146,0.119,Reject stationarity null
