event,event_date,event_yield_percent,event_change_bps,pre_n,post_n,pre_mean_yield,post_mean_yield,pre_mean_change_bps,post_mean_change_bps,pre_std_change_bps,post_std_change_bps,pre_max_abs_change_bps,post_max_abs_change_bps
Mini-budget,2022-09-23,3.8426,29.099999999999994,10,10,3.2506099999999996,4.13195,4.784000000000002,4.400000000000004,8.13986377172384,20.67331129741919,18.210000000000015,38.23999999999997
BoE intervention,2022-09-28,4.0517,-38.23999999999997,10,10,3.5480399999999994,4.221909999999999,13.276,4.87,12.771454454716146,12.04772915439992,33.91000000000002,26.18999999999998
