model,AIC,BIC,loglikelihood,convergence_flag
"TARCH(1,1,1)",12855.650287631073,12884.11997425862,-6422.825143815537,0
"EGARCH(1,1,1)",12855.790402722354,12884.2600893499,-6422.895201361177,0
"GJR-GARCH(1,1,1)",12857.348715608638,12885.818402236184,-6423.674357804319,0
"GARCH(1,1)",12859.327360363379,12882.103109665415,-6425.663680181689,0
ARCH(7),12874.008992983934,12925.254428913518,-6428.004496491967,0
