date,actual_yield_percent,actual_change_bps,fixed_AR2_mean_forecast_change_bps,realized_innovation_bps,realized_abs_innovation_bps,realized_squared_innovation_bps2,ARCH(7) variance forecast,ARCH(7) sigma forecast,"GARCH(1,1) variance forecast","GARCH(1,1) sigma forecast","EGARCH(1,1,1) variance forecast","EGARCH(1,1,1) sigma forecast","GJR-GARCH(1,1,1) variance forecast","GJR-GARCH(1,1,1) sigma forecast","TARCH(1,1,1) variance forecast","TARCH(1,1,1) sigma forecast"
2022-09-28,4.0517,-38.23999999999997,0.5869130578252862,-38.82691305782525,38.82691305782525,1507.529177599921,312.77731708834943,17.68551150202757,243.189181797672,15.594524096543376,166.5612560650311,12.905861306593648,291.6721843509671,17.078412817090676,175.73874288878045,13.256649006773184
2022-09-29,4.121,6.930000000000014,0.1829053879709984,6.747094612029016,6.747094612029016,45.52328570367097,269.16701749416956,16.40631029494961,234.7876410982545,15.322781767624784,164.67037146896763,12.832395390922446,280.08023522175984,16.7355978447667,173.23697517626,13.161951799648104
2022-09-30,4.1021,-1.890000000000036,0.06481023088229393,-1.95481023088233,1.95481023088233,3.8212830387622287,252.7709320569777,15.898771400865467,225.28058423055214,15.009349893668018,162.85917363917213,12.761628957118763,269.3371398888942,16.41149413944063,170.92291704927695,13.073749158113634
2022-10-03,3.9766,-12.550000000000017,0.06122640541536579,-12.611226405415383,12.611226405415383,159.04303144864622,287.65128606631646,16.960285553796446,217.06778715076535,14.733220528817363,160.92432780673255,12.685595287834644,259.44340493309,16.107246969395174,168.4017370196782,12.976969485194846
2022-10-04,3.9036,-7.299999999999995,0.06063631795951199,-7.360636317959507,7.360636317959507,54.17896700526449,297.8576380962003,17.25855260722058,208.95043588993653,14.455117982567161,159.20849054584926,12.61778469248264,249.63421325342154,15.799816874047039,165.93852054140214,12.881712640072443
2022-10-05,4.0527,14.909999999999979,0.06061129257680698,14.849388707423172,14.849388707423172,220.50434498414683,240.7933318936242,15.51751693711414,202.5523561617922,14.232088959874872,157.54115660542107,12.551540009314436,240.638773288432,15.512536004420166,163.66439098375326,12.7931384336977
2022-10-06,4.2134,16.07000000000003,0.06060823881623129,16.009391761183796,16.009391761183796,256.3006245630596,179.23081884678942,13.387711486538295,195.91705264981803,13.997037281146966,155.64676153163168,12.475847126813942,232.51291614524018,15.24837421318221,161.4587019309531,12.706640072456334
2022-10-07,4.2826,6.920000000000037,0.06060807984257343,6.859391920157464,6.859391920157464,47.05125751432149,150.41020899173205,12.264183992085737,189.44126240305866,13.7637662869964,153.92972892088142,12.406842020469247,223.661490479988,14.955316462047469,159.25007164396126,12.61943230276074
2022-10-10,4.5445,26.18999999999998,0.06060806360332758,26.12939193639665,26.12939193639665,682.7451229658303,136.8993444511733,11.70039932870555,182.35150984141876,13.503759100391964,152.292353168536,12.340678796911295,215.60776082050015,14.68358814528997,157.13103136880906,12.535191716476021
2022-10-11,4.4839,-6.059999999999999,0.06060806264017539,-6.120608062640174,6.120608062640174,37.4618430564559,128.2927092845937,11.32663715692322,176.20709083794367,13.274301896444259,150.69217513928865,12.275674121582433,207.36321973350982,14.400111795868455,155.088677806015,12.453460475145652
2022-10-12,4.5387,5.480000000000018,0.06060806255207702,5.419391937447942,5.419391937447942,29.369808971675752,119.26353529378713,10.92078455486542,170.5984290018152,13.061333354670005,149.02109331342584,12.207419600940481,201.2658793099185,14.186820620206575,152.9864217652772,12.368767997067339
2022-10-13,4.3034,-23.53000000000005,0.060608062546393844,-23.590608062546444,23.590608062546444,556.5167887606813,105.48367123202527,10.270524389339878,165.18982629360528,12.852619433158567,147.3997301019498,12.140829053320445,193.85416581213337,13.923152150721236,150.85698195356642,12.282385027085189
2022-10-14,4.3868,8.340000000000014,0.060608062545909135,8.279391937454104,8.279391937454104,68.54833085398002,91.44614615147223,9.562747834773864,159.71519444669286,12.637847698350098,145.81985589516674,12.075589256643617,187.40258751651749,13.68950647454164,148.55931259399932,12.188490989207784
