model,QLIKE,Variance MAE (bps²),Variance RMSE (bps²),Volatility MAE (bps),Volatility RMSE (bps)
"GJR-GARCH(1,1,1)",6.613433278858863,270.9822675237891,402.5449652953865,8.555329580384061,10.11822977437368
"GARCH(1,1)",6.661261224966746,259.34205766119806,410.0678189522882,8.163910203031671,9.976605719808543
ARCH(7),6.738092624782908,264.68086269408496,406.7329712451086,8.263539100963557,10.125152692855334
"TARCH(1,1,1)",6.799818594136935,251.0871565962208,423.5055699241989,7.86182097631627,10.053350534666466
"EGARCH(1,1,1)",6.833358196610775,249.71401619521356,425.7213508546418,7.80779347203307,10.082360263890257
