model,LB resid p (10),LB resid p (20),LB squared resid p (10),LB squared resid p (20),ARCH-LM p (10),Jarque-Bera statistic,Jarque-Bera p
ARCH(7),0.7265635623324971,0.5600032992638204,0.9929012568633054,0.9980421717667514,0.9929209251805704,258.57476698208495,7.099091439690602e-57
"GARCH(1,1)",0.7635901018131827,0.5906131161170179,0.6114625775227205,0.9035281806376758,0.5983984913942157,254.5105678715414,5.416670197187324e-56
"EGARCH(1,1,1)",0.5051289001905821,0.4236176784630944,1.2054568549883407e-09,1.0885406264163932e-07,7.884239702612288e-08,418.4812364268482,1.3426231150873453e-91
"GJR-GARCH(1,1,1)",0.6806173193983533,0.5183603060382203,0.5997093711745696,0.8749733819155552,0.5926298439591305,230.7855896307427,7.683267614610188e-51
"TARCH(1,1,1)",0.506093949781492,0.40605051217137866,1.2221334878292812e-07,6.40625228496025e-06,2.1973359439040516e-06,377.64186362070245,9.910857844870544e-83
