date,actual_yield_percent,actual_change_bps,fixed_AR2_mean_forecast_change_bps,realized_innovation_bps,realized_abs_innovation_bps,ARCH(7) standardized innovation,"GARCH(1,1) standardized innovation","EGARCH(1,1,1) standardized innovation","GJR-GARCH(1,1,1) standardized innovation","TARCH(1,1,1) standardized innovation"
2022-09-28,4.0517,-38.23999999999997,0.5869130578252862,-38.82691305782525,38.82691305782525,-2.195407978636858,-2.4897786439299856,-3.0084712779292344,-2.2734497329266135,-2.928863322698483
2022-09-29,4.121,6.930000000000014,0.1829053879709984,6.747094612029016,6.747094612029016,0.41124996972085726,0.44033092126162265,0.5257860599278188,0.40315826626647,0.5126211305689028
2022-09-30,4.1021,-1.890000000000036,0.06481023088229393,-1.95481023088233,1.95481023088233,-0.12295354034563437,-0.13023950036017246,-0.15317873897218168,-0.11911226450640269,-0.1495217788899648
2022-10-03,3.9766,-12.550000000000017,0.06122640541536579,-12.611226405415383,12.611226405415383,-0.7435739431045396,-0.8559721468058205,-0.9941375331049241,-0.7829535630376526,-0.9718159867604889
2022-10-04,3.9036,-7.299999999999995,0.06063631795951199,-7.360636317959507,7.360636317959507,-0.42649209846716735,-0.5092062428571262,-0.583354090860719,-0.46586845763068135,-0.5714019962735415
2022-10-05,4.0527,14.909999999999979,0.06061129257680698,14.849388707423172,14.849388707423172,0.9569436120225545,1.0433737977108406,1.1830730489169865,0.9572508778185568,1.1607307139199883
2022-10-06,4.2134,16.07000000000003,0.06060823881623129,16.009391761183796,16.009391761183796,1.1958273658109282,1.1437700307298124,1.283230837830268,1.0499081106852484,1.259923289704782
2022-10-07,4.2826,6.920000000000037,0.06060807984257343,6.859391920157464,6.859391920157464,0.5593027570838739,0.4983659106910304,0.5528717065019927,0.4586590954169868,0.5435578840307136
2022-10-10,4.5445,26.18999999999998,0.06060806360332758,26.12939193639665,26.12939193639665,2.233205141322935,1.9349717172930174,2.1173383058099273,1.7794963790766722,2.084482832604201
2022-10-11,4.4839,-6.059999999999999,0.06060806264017539,-6.120608062640174,6.120608062640174,-0.540372926036485,-0.4610870018166213,-0.4985964927074146,-0.42503892673918275,-0.49147849907706787
2022-10-12,4.5387,5.480000000000018,0.06060806255207702,5.419391937447942,5.419391937447942,0.49624565984442004,0.4149187368769107,0.4439424640593514,0.382001865148629,0.43815131294668075
2022-10-13,4.3034,-23.53000000000005,0.060608062546393844,-23.590608062546444,23.590608062546444,-2.2969234255489357,-1.8354708303028766,-1.9430804897211325,-1.6943439105723213,-1.9206862519392036
2022-10-14,4.3868,8.340000000000014,0.060608062545909135,8.279391937454104,8.279391937454104,0.865796325544319,0.655126737959898,0.6856304699912709,0.6047984237307079,0.6792794895434583
