date,realized_abs_innovation_bps,ARCH(7) gap (bps),"GARCH(1,1) gap (bps)","EGARCH(1,1,1) gap (bps)","GJR-GARCH(1,1,1) gap (bps)","TARCH(1,1,1) gap (bps)"
2022-09-28,38.82691305782525,21.14140155579768,23.232388961281877,25.9210517512316,21.748500240734575,25.570264051052067
2022-09-29,6.747094612029016,-9.659215682920593,-8.57568715559577,-6.085300778893431,-9.988503232737685,-6.414857187619089
2022-09-30,1.95481023088233,-13.943961169983137,-13.054539662785688,-10.806818726236433,-14.4566839085583,-11.118938927231303
2022-10-03,12.611226405415383,-4.349059148381063,-2.1219941234019792,-0.07436888241926098,-3.4960205639797906,-0.3657430797794632
2022-10-04,7.360636317959507,-9.897916289261072,-7.094481664607654,-5.257148374523133,-8.439180556087532,-5.521076322112936
2022-10-05,14.849388707423172,-0.6681282296909679,0.6172997475482997,2.2978486981087354,-0.6631472969969945,2.056250273725471
2022-10-06,16.009391761183796,2.6216802746455006,2.01235448003683,3.5335446343698536,0.7610175480015862,3.3027516887274615
2022-10-07,6.859391920157464,-5.404792071928274,-6.904374366838937,-5.547450100311783,-8.095924541890005,-5.760040382603277
2022-10-10,26.12939193639665,14.4289926076911,12.625632836004687,13.788713139485356,11.44580379110668,13.59420021992063
2022-10-11,6.120608062640174,-5.206029094283045,-7.153693833804085,-6.15506605894226,-8.279503733228282,-6.332852412505479
2022-10-12,5.419391937447942,-5.501392617417479,-7.641941417222063,-6.78802766349254,-8.767428682758634,-6.949376059619397
2022-10-13,23.590608062546444,13.320083673206566,10.737988629387877,11.449779009225999,9.667455911825208,11.308223035461255
2022-10-14,8.279391937454104,-1.28335589731976,-4.358455760895994,-3.7961973191895133,-5.410114537087535,-3.90909905175368
